,Age,Price,Product description accuracy,Manufacturer sustainability,Packaging quality,Additional options,Helpfulness of reviews and ratings,Integrity of packaging,Ease check-out procedure,Relevance of related products,Costumer insurance,Shipping delay in days,Arrival delay in days,Male,Premium,Used,Home/Kitchen,Other,Sport,Technology,Satisfied
Age,0.9999999999999999,0.06850255872323277,0.07601848625912767,-0.006247982507976656,0.003933915225205441,0.04333321351654254,0.023487774307056272,-0.05220664395078151,0.032848519665508794,-0.05945012469048607,0.03112645873537285,-0.006328618870425242,-0.007341503631067012,-0.010076879829463111,0.35399820438822766,-0.004472579081630083,-0.004122004707616261,0.0014347602182138324,0.0013847042579785117,0.0011259865291328307,0.06800291508301382
Price,0.06850255872323277,0.9999999999999999,-0.019276603642422594,0.005268615417788513,0.05827144493769019,0.10282414979917873,0.13054111455854847,0.05737673049502984,0.0717397320818963,0.051370787447825986,0.09092408686580726,0.0007916403823131328,-0.004283456125927287,-0.008597516121686813,0.22139194550356184,0.00033766901801795006,0.00609551730425551,-0.00011407137460279919,-0.0026392630471061863,-0.00035491129581399566,0.2962643113692077
Product description accuracy,0.07601848625912767,-0.019276603642422594,1.0,0.43731055482398506,-0.002495717094696443,0.06766427727011565,0.009876690596098995,0.0758101742632598,0.09532740029181644,0.07366283922890347,0.010524975539669346,0.0033456189621560175,0.004921343667488979,-0.004894825018392273,0.2131798156726142,-0.0018087016673986867,0.004891996744319173,-0.004406699341279596,0.0069915513333342755,-0.004586203832486301,-0.052483789181535435
Manufacturer sustainability,-0.006247982507976656,0.005268615417788514,0.4373105548239851,1.0,-0.007678914587569557,-0.028669597771064117,-0.008536213776255495,0.003499294632456779,-0.03497750758093545,-0.0016263525301396793,-0.010219317928760461,0.009250414269508199,0.007654214176750799,-0.0011533445711363376,-0.007480594474528672,0.004911358400206679,0.002770521149729746,-0.0026379361867128054,-0.0026778120700775496,0.0014116767521757797,0.0002446433530357726
Packaging quality,0.003933915225205441,0.05827144493769019,-0.0024957170946964436,-0.007678914587569557,0.9999999999999998,0.06174930199406682,0.035868429753939904,0.03931747129731964,0.09404808363363641,0.039209117803103606,0.665676547937225,-0.023830780814415305,-0.02449846948324691,-0.004573185353146442,0.052861474904303506,-0.00024749261641882373,0.0017627665762075112,-0.001099059600168585,-0.002019860911679748,0.005076909665764308,0.21538825118855914
Additional options,0.04333321351654254,0.10282414979917873,0.06766427727011565,-0.028669597771064117,0.061749301994066814,1.0,0.34841282661487066,0.5189783203804131,0.24935660649983674,0.5469753410719725,0.12563265182059183,-0.026502708918719902,-0.028985208566928083,-0.007091042106890986,0.05388494544819435,-0.00391177159093926,-0.0007614271683759861,-0.00010192363115641308,0.006788602121070177,0.0010201676023609556,0.3174397741754854
Helpfulness of reviews and ratings,0.023487774307056272,0.1305411145585485,0.009876690596098995,-0.008536213776255495,0.035868429753939904,0.34841282661487066,0.9999999999999998,0.36605399415895606,0.15416614563002745,0.36126485145449044,0.09411921226455315,0.01625672823620239,0.015531846565741603,-0.03301612386852552,0.044766268116616305,-0.0059848768910394385,0.001987018505286358,0.001042226187753967,0.005057430416110067,-0.006890207820037338,0.3125720870900973
Integrity of packaging,-0.05220664395078151,0.057376730495029844,0.07581017426325978,0.0034992946324567784,0.03931747129731964,0.5189783203804131,0.36605399415895606,1.0,0.23961721132121794,0.6261556825627493,0.10099166546603933,-0.004986194069076746,-0.00542741250462313,-0.0395177002960482,-0.02175155436391309,0.005728567292433615,0.0007757489896915569,0.0011734314335058698,0.008015872359704745,-0.004298614267310152,0.24708553902951305
Ease check-out procedure,0.032848519665508794,0.07173973208189628,0.09532740029181642,-0.03497750758093545,0.09404808363363643,0.24935660649983674,0.15416614563002745,0.23961721132121794,1.0,0.2408592337367999,0.18530849112875375,-0.0148325848786769,-0.012196280697766076,-0.010459672732753141,0.03825416217379136,0.0010779666341126286,0.008030941149573914,-0.008331327224283713,0.000631360617934596,-0.004453013841106497,0.24153432201861696
Relevance of related products,-0.05945012469048607,0.051370787447825986,0.07366283922890347,-0.0016263525301396793,0.0392091178031036,0.5469753410719725,0.36126485145449044,0.6261556825627493,0.24085923373679988,0.9999999999999998,0.09446997611882918,-0.05067229971318486,-0.049509094867840386,-0.04067074930551319,-0.020710581718886067,0.0035030462732180885,0.003636185626944931,0.0009238362609922437,0.004469918958740719,-0.0021982153898099537,0.24553638445535783
Costumer insurance,0.03112645873537285,0.09092408686580726,0.010524975539669346,-0.010219317928760463,0.665676547937225,0.12563265182059183,0.09411921226455315,0.10099166546603933,0.18530849112875375,0.09446997611882918,1.0,-0.010595152681989347,-0.007969517400413887,-0.00600851595845355,0.07580794686801572,0.0013780457568438333,0.0009053333933676549,-0.006223474410771287,0.0006074606464532556,0.001970365014366792,0.30618939245334015
Shipping delay in days,-0.006328618870425241,0.0007916403823131329,0.0033456189621560175,0.009250414269508199,-0.023830780814415305,-0.026502708918719902,0.01625672823620239,-0.004986194069076747,-0.014832584878676898,-0.05067229971318486,-0.010595152681989347,0.9999999999999999,0.9121786482883949,-0.0003688090939639969,-0.006494492038228703,0.0049030074764112135,-0.00435835476431406,-0.004335947633544399,-0.004386112876645875,0.0046644403653720405,-0.0395898915311155
Arrival delay in days,-0.007341503631067013,-0.004283456125927287,0.004921343667488979,0.007654214176750798,-0.024498469483246913,-0.028985208566928086,0.015531846565741605,-0.005427412504623131,-0.012196280697766076,-0.049509094867840386,-0.007969517400413887,0.9121786482883949,1.0,0.001206701350202585,-0.005301551361700897,0.005311976794946964,-0.0037750833881554343,-0.008209773748806727,-0.0038373126926784873,0.004656377073195729,-0.039686694931375534
Male,-0.010076879829463111,-0.008597516121686813,-0.004894825018392273,-0.0011533445711363376,-0.004573185353146442,-0.007091042106890986,-0.03301612386852552,-0.0395177002960482,-0.01045967273275314,-0.0406707493055132,-0.006008515958453551,-0.0003688090939639969,0.001206701350202585,1.0,-0.027667327896099613,0.0014044744851776868,0.0048208757795017,0.0008744720683906179,0.0007297384066415821,-0.0034469740346724813,-0.01628819703104245
Premium,0.35399820438822766,0.22139194550356187,0.21317981567261424,-0.007480594474528671,0.052861474904303506,0.05388494544819435,0.04476626811661631,-0.02175155436391309,0.03825416217379135,-0.020710581718886067,0.07580794686801572,-0.0064944920382287025,-0.005301551361700897,-0.02766732789609961,1.0,-0.003478888287099335,0.0038639463697843117,0.0002006316672074504,0.0009707711465128813,-0.0015650780516462113,0.1907924204943196
Used,-0.004472579081630083,0.00033766901801795006,-0.0018087016673986867,0.004911358400206679,-0.00024749261641882373,-0.00391177159093926,-0.005984876891039438,0.005728567292433615,0.0010779666341126286,0.0035030462732180885,0.0013780457568438333,0.0049030074764112135,0.005311976794946964,0.0014044744851776868,-0.003478888287099335,0.9999999999999999,-0.0012434529843518794,-0.003114572018863452,-0.004565312658688967,0.0011264299315719812,-0.0015845887092091043
Home/Kitchen,-0.004122004707616261,0.00609551730425551,0.004891996744319173,0.0027705211497297466,0.0017627665762075112,-0.0007614271683759861,0.0019870185052863584,0.000775748989691557,0.008030941149573914,0.003636185626944931,0.0009053333933676548,-0.00435835476431406,-0.0037750833881554343,0.004820875779501701,0.0038639463697843117,-0.0012434529843518797,1.0,-0.0882862316878175,-0.17026079792021204,-0.37044860522234363,0.00840072250101124
Other,0.0014347602182138324,-0.00011407137460279919,-0.004406699341279595,-0.0026379361867128054,-0.001099059600168585,-0.00010192363115641308,0.0010422261877539672,0.0011734314335058696,-0.008331327224283713,0.0009238362609922437,-0.006223474410771288,-0.004335947633544399,-0.008209773748806725,0.0008744720683906179,0.0002006316672074504,-0.003114572018863452,-0.0882862316878175,0.9999999999999999,-0.06511165255987833,-0.14166808313580348,-0.007685758224895449
Sport,0.0013847042579785119,-0.0026392630471061863,0.006991551333334276,-0.0026778120700775496,-0.0020198609116797474,0.006788602121070177,0.005057430416110067,0.008015872359704745,0.000631360617934596,0.004469918958740718,0.0006074606464532555,-0.004386112876645876,-0.0038373126926784873,0.0007297384066415821,0.0009707711465128812,-0.004565312658688968,-0.17026079792021204,-0.06511165255987833,0.9999999999999998,-0.27320818222052556,-0.008034326264471118
Technology,0.001125986529132831,-0.00035491129581399566,-0.004586203832486301,0.0014116767521757795,0.005076909665764308,0.0010201676023609556,-0.006890207820037338,-0.004298614267310152,-0.004453013841106497,-0.0021982153898099537,0.001970365014366792,0.0046644403653720405,0.004656377073195729,-0.0034469740346724817,-0.0015650780516462113,0.0011264299315719812,-0.37044860522234363,-0.14166808313580348,-0.27320818222052556,0.9999999999999999,-0.002233143702917822
Satisfied,0.0680029150830138,0.2962643113692077,-0.05248378918153543,0.0002446433530357726,0.21538825118855914,0.3174397741754854,0.3125720870900974,0.24708553902951302,0.241534322018617,0.2455363844553578,0.30618939245334015,-0.039589891531115494,-0.039686694931375534,-0.016288197031042447,0.19079242049431958,-0.0015845887092091043,0.00840072250101124,-0.0076857582248954495,-0.00803432626447112,-0.0022331437029178224,1.0
